employee_id,full_name,company,country,city,department,job_family,job_title,job_level,manager_id,manager_name,employee_type,contract_type,shift_type,hire_date,exit_date,status,onboarding_completed,onboarding_completion_date,training_completed,safety_training_completed,last_training_date,performance_review_completed,engagement_score,absenteeism_days_ytd,overtime_hours_qtr,hr_system,automation_candidate,data_issue
OMN-00011,Martin Saar,AS Eesti Post,Estonia,Narva,Sorting Center Operations,Operations,Shift Coordinator,Specialist,OMN-00332,Maarja Kask,Part-time,Permanent,Night,2023-12-10,,Active,Yes,2024-01-30,Yes,Yes,2026-04-27,Yes,84,4,39,SAP SuccessFactors,Yes,
OMN-00012,Kärt Rebane,AS Eesti Post,Estonia,Narva,Sorting Center Operations,Operations,Operations Manager,Manager,OMN-00791,Mihkel Tamm,Full-time,Permanent,Morning,2026-06-19,,Active,Yes,2026-06-27,No,Yes,,Not eligible,91,0,27,SAP SuccessFactors,No,
OMN-00013,Rasmus Saar,AS Eesti Post,Estonia,Tallinn,Last-Mile Delivery,Operations,Courier,Specialist,OMN-01734,Anu Tamm,Seasonal,Permanent,Night,2019-04-11,,Active,Yes,2019-05-20,Yes,Yes,2025-02-19,Yes,96,3,9,SAP SuccessFactors,No,
OMN-00014,Triin Saar,AS Eesti Post,Estonia,Pärnu,Parcel Locker Network,Technical Operations,Parcel Locker Technician,Junior,,,Seasonal,Service contract,Standard office hours,2014-03-18,,Active,Yes,2014-05-16,Yes,No,2015-10-02,No,64,0,11,SAP SuccessFactors,No,Missing manager
OMN-00015,Evelin Koppel,AS Eesti Post,Estonia,Tallinn,Legal & Compliance,Legal & Compliance,Senior Data Protection Coordinator,Senior,OMN-01385,Kadri Tamm,Full-time,Permanent,Standard office hours,2020-09-18,2026-03-05,Exited,Yes,2020-10-29,Yes,Not required,2023-01-28,No,94,6,0,SAP SuccessFactors,No,
OMN-00016,Siim Mägi,AS Eesti Post,Estonia,Narva,Sales & Partnerships,Commercial,Sales Specialist,Junior,OMN-00683,Jaan Rebane,Full-time,Permanent,Standard office hours,2014-12-28,,Active,Yes,2015-01-27,Yes,Not required,2015-03-17,Yes,98,8,2,SAP SuccessFactors,No,
OMN-00017,Maarja Mägi,AS Eesti Post,Estonia,Tartu,Postal Services,Operations,Postal Service Specialist,Junior,OMN-01477,Jaan Saar,Full-time,Permanent,Standard office hours,2022-03-07,2024-07-16,Exited,Yes,2022-04-18,No,Yes,,No,69,11,0,SAP SuccessFactors,No,
OMN-00018,Kadri Rebane,AS Eesti Post,Estonia,Pärnu,Sales & Partnerships,Commercial,Sales Specialist,Junior,OMN-00683,Jaan Rebane,Part-time,Permanent,Hybrid,2019-07-26,,Active,Yes,2019-09-19,Yes,Not required,2024-09-22,Yes,68,4,19,SAP SuccessFactors,No,
OMN-00019,Tanel Koppel,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Courier,Junior,OMN-01415,Tanel Kask,Part-time,Permanent,Morning,2022-12-19,,Active,Yes,2023-01-07,Yes,Yes,2023-03-07,Yes,74,0,42,SAP SuccessFactors,Yes,
OMN-00020,Mihkel Rebane,AS Eesti Post,Estonia,Tallinn,Sales & Partnerships,Commercial,Sales Specialist,Junior,OMN-01895,Rasmus Sepp,Part-time,Permanent,Remote-friendly,2014-01-14,,Active,Yes,2014-02-13,Yes,Not required,2015-08-10,Not eligible,93,0,22,SAP SuccessFactors,No,
OMN-00021,Tanel Rebane,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Courier,Junior,OMN-01734,Anu Tamm,Full-time,Permanent,Evening,2020-08-19,,Active,Yes,2020-09-16,Yes,Yes,2020-08-20,Yes,91,1,12,SAP SuccessFactors,No,
OMN-00022,Evelin Saar,AS Eesti Post,Estonia,Tartu,Parcel Locker Network,Technical Operations,Field Service Coordinator,Specialist,OMN-01720,Liis Kask,Full-time,Permanent,Rotating,2020-05-13,,Active,Yes,2020-05-28,Yes,Yes,2022-01-06,Yes,84,0,0,SAP SuccessFactors,No,
OMN-00023,Jaan Rebane,AS Eesti Post,Estonia,Narva,Sales & Partnerships,Commercial,Partnership Manager,Specialist,,,Full-time,Fixed-term,Hybrid,2019-06-22,,Active,Yes,2019-07-09,Yes,Not required,2021-06-11,No,83,6,9,SAP SuccessFactors,No,Missing manager
OMN-00024,Laura Lepp,AS Eesti Post,Estonia,Rakvere,Sorting Center Operations,Operations,Warehouse Specialist,Specialist,OMN-00147,Kristjan Koppel,Part-time,Fixed-term,Evening,2021-02-12,2026-01-14,Exited,Yes,2021-04-11,Yes,Yes,2023-10-12,Yes,94,2,52,SAP SuccessFactors,No,
OMN-00025,Martin Mägi,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Route Planner,Specialist,OMN-00098,Siim Koppel,Full-time,Permanent,Morning,2021-07-14,,Active,Yes,2021-08-12,Yes,Yes,2023-05-22,Yes,67,5,6,SAP SuccessFactors,No,
OMN-00026,Anu Ilves,AS Eesti Post,Estonia,Rakvere,Finance,Finance,Finance Specialist,Junior,OMN-00530,Tanel Rebane,Part-time,Service contract,Standard office hours,2014-02-18,2023-12-17,Exited,Yes,2014-03-31,Yes,Not required,2019-01-29,Yes,85,7,9,SAP SuccessFactors,Yes,
OMN-00027,Triin Sepp,AS Eesti Post,Estonia,Narva,Parcel Locker Network,Technical Operations,Parcel Locker Technician,Specialist,OMN-00748,Liis Mägi,Full-time,Permanent,Standard office hours,2025-12-24,,Active,Yes,2025-12-30,Yes,Yes,2026-02-28,Yes,74,0,22,SAP SuccessFactors,No,
OMN-00028,Maarja Koppel,AS Eesti Post,Estonia,Narva,Finance,Finance,Finance Specialist,Specialist,OMN-01688,Mihkel Lepp,Full-time,Fixed-term,Hybrid,2015-03-03,2018-11-28,Exited,Yes,2015-03-18,No,Not required,,No,69,8,16,SAP SuccessFactors,Yes,
OMN-00029,Kadri Kukk,AS Eesti Post,Estonia,Pärnu,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00791,Mihkel Tamm,Seasonal,Permanent,Rotating,2017-10-06,,Active,Yes,2017-10-28,Yes,Yes,2024-03-21,Yes,79,6,6,SAP SuccessFactors,No,
OMN-00030,Siim Lepp,AS Eesti Post,Estonia,Pärnu,International Logistics,Logistics,International Logistics Specialist,Junior,OMN-01475,Maarja Mägi,Full-time,Permanent,Standard office hours,2016-09-18,,Active,Yes,2016-11-01,Yes,Not required,2020-07-16,Yes,85,12,20,SAP SuccessFactors,Yes,
OMN-00031,Anu Sepp,AS Eesti Post,Estonia,Tartu,Parcel Locker Network,Technical Operations,Senior Field Service Coordinator,Senior,OMN-00766,Martin Kask,Full-time,Fixed-term,Rotating,2025-09-14,2026-06-18,Exited,Yes,2025-10-04,Yes,No,2026-05-02,Yes,93,2,1,SAP SuccessFactors,No,
OMN-00032,Tanel Mägi,AS Eesti Post,Estonia,Pärnu,Sorting Center Operations,Operations,Shift Coordinator,Specialist,OMN-00985,Anu Mägi,Full-time,Permanent,Morning,2020-03-13,,Active,Yes,2020-04-15,Yes,Yes,2025-09-13,Yes,,2,39,SAP SuccessFactors,No,
OMN-00033,Tanel Rebane,AS Eesti Post,Estonia,Rakvere,Parcel Locker Network,Technical Operations,Field Service Coordinator,Specialist,OMN-00711,Rasmus Kask,Full-time,Permanent,Standard office hours,2026-05-06,,Active,Yes,2026-06-12,Yes,Yes,2026-06-23,Not eligible,66,4,17,SAP SuccessFactors,No,
OMN-00034,Siim Kask,AS Eesti Post,Estonia,Tallinn,Legal & Compliance,Legal & Compliance,Legal Assistant,Specialist,OMN-01385,Kadri Tamm,Full-time,Permanent,Standard office hours,2020-08-23,,Active,Yes,2020-09-30,No,Not required,,Yes,94,7,1,SAP SuccessFactors,No,
OMN-00035,Liis Tamm,AS Eesti Post,Estonia,Pärnu,Postal Services,Operations,Post Office Clerk,Specialist,OMN-00854,Laura Rebane,Part-time,Permanent,Standard office hours,2019-08-31,2021-11-20,Exited,Yes,2019-10-09,Yes,Yes,2023-01-26,Yes,89,4,0,SAP SuccessFactors,No,
OMN-00036,Kärt Lepp,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Delivery Coordinator,Specialist,OMN-00117,Tanel Koppel,Full-time,Permanent,Rotating,2023-08-14,,Active,Yes,2023-09-28,Yes,Yes,2024-01-27,Yes,58,6,37,SAP SuccessFactors,No,
OMN-00037,Mihkel Mägi,AS Eesti Post,Estonia,Pärnu,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-01066,Martin Lepp,Full-time,Permanent,Rotating,2024-03-08,,Active,Yes,2024-03-18,Yes,Yes,2025-09-16,Yes,71,4,15,SAP SuccessFactors,Yes,
OMN-00038,Jaan Saar,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Route Planner,Specialist,OMN-00577,Kärt Saar,Full-time,Service contract,Evening,2024-07-06,,Active,Yes,2024-08-05,Yes,Yes,2025-06-01,Yes,,4,48,SAP SuccessFactors,No,
OMN-00039,Rasmus Tamm,AS Eesti Post,Estonia,Pärnu,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00854,Laura Rebane,Full-time,Fixed-term,Standard office hours,2017-12-06,,Active,Yes,2017-12-14,Yes,Yes,2023-03-15,Yes,96,5,10,SAP SuccessFactors,No,
OMN-00040,Maarja Ilves,AS Eesti Post,Estonia,Rakvere,Postal Services,Operations,Post Office Clerk,,OMN-01248,Siim Saar,Full-time,Service contract,Standard office hours,2015-12-23,,Active,Yes,2016-01-29,No,Yes,,Yes,87,0,18,SAP SuccessFactors,No,Missing job level
OMN-00041,Liis Mägi,AS Eesti Post,Estonia,Rakvere,Customer Support,Support,Customer Support Agent,Junior,OMN-00852,Siim Sepp,Full-time,Permanent,Rotating,2023-10-30,,Active,Yes,2023-11-21,Yes,Not required,2025-05-16,Yes,68,12,7,SAP SuccessFactors,Yes,
OMN-00042,Jaan Mägi,AS Eesti Post,Estonia,Tartu,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-00860,Liis Koppel,Full-time,Permanent,Evening,2025-05-31,,Active,Yes,2025-07-11,Yes,Yes,2026-02-15,No,58,2,53,SAP SuccessFactors,No,
OMN-00043,Mihkel Mägi,AS Eesti Post,Estonia,Pärnu,HR & People Operations,People,HR Specialist,Specialist,OMN-00716,Rasmus Mägi,Full-time,Permanent,Standard office hours,2024-12-25,,Active,Yes,2025-01-17,Yes,Not required,2025-07-06,Not eligible,78,4,21,SAP SuccessFactors,Yes,
OMN-00044,Anu Sepp,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Route Planner,Specialist,OMN-01428,Anu Ilves,Seasonal,Permanent,Morning,2025-02-09,2026-05-31,Exited,Yes,2025-02-12,Yes,No,2026-02-13,Yes,63,10,36,SAP SuccessFactors,No,
OMN-00045,Siim Kukk,AS Eesti Post,Estonia,Tallinn,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00854,Laura Rebane,Full-time,Permanent,Rotating,2025-12-20,,Active,Yes,2026-02-01,Yes,Yes,2026-06-13,Not eligible,59,2,9,SAP SuccessFactors,No,
OMN-00046,Triin Tamm,AS Eesti Post,Estonia,Pärnu,IT & Product,Technology,Product Specialist,Specialist,OMN-01698,Kadri Kukk,Full-time,Permanent,Standard office hours,2015-01-12,,Active,Yes,2015-02-27,Yes,Not required,2019-01-26,Yes,78,1,3,SAP SuccessFactors,No,
OMN-00047,Kärt Tamm,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Delivery Coordinator,Specialist,OMN-01494,Maarja Mägi,Full-time,Permanent,Evening,2024-06-08,2026-01-18,Exited,Yes,2024-06-27,Yes,Yes,2025-09-18,No,78,5,15,SAP SuccessFactors,No,
OMN-00048,Maarja Rebane,AS Eesti Post,Estonia,Pärnu,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-00012,Kärt Rebane,Contractor,Fixed-term,Rotating,2020-02-27,,Active,Yes,2020-04-27,Yes,Yes,2023-05-14,No,76,4,33,SAP SuccessFactors,No,
OMN-00049,Evelin Saar,AS Eesti Post,Estonia,Tartu,Customer Support,Support,Senior Support Quality Specialist,Senior,OMN-01488,Rasmus Koppel,Full-time,Permanent,Rotating,2014-11-19,,Active,Yes,2015-01-08,Yes,Not required,2024-03-14,Yes,88,6,2,SAP SuccessFactors,Yes,
OMN-00050,Kärt Ilves,AS Eesti Post,Estonia,Tartu,Postal Services,Operations,Postal Service Specialist,Junior,OMN-00791,Mihkel Tamm,Full-time,Permanent,Weekend support,2020-08-14,,Active,Yes,2020-10-02,No,Yes,,Yes,89,0,18,SAP SuccessFactors,Yes,
OMN-00051,Rasmus Rebane,AS Eesti Post,Estonia,Pärnu,Postal Services,Operations,Universal Postal Service Coordinator,Specialist,OMN-01255,Evelin Tamm,Full-time,Permanent,Rotating,2022-05-02,,Active,Yes,2022-05-09,No,Yes,,Yes,98,2,15,SAP SuccessFactors,Yes,
OMN-00052,Kristjan Kask,AS Eesti Post,Estonia,Tallinn,Finance,Finance,Pricing Specialist,Specialist,OMN-00481,Tanel Mägi,Full-time,Permanent,Hybrid,2026-01-21,,Active,Yes,2026-03-12,Yes,Not required,2026-03-01,No,85,0,0,SAP SuccessFactors,Yes,
OMN-00053,Jaan Kask,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Courier,Specialist,OMN-00442,Jaan Sepp,Full-time,Permanent,Rotating,2022-02-19,,Active,Yes,2022-03-01,Yes,Yes,2024-09-07,Yes,94,3,19,SAP SuccessFactors,No,
OMN-00054,Martin Saar,AS Eesti Post,Estonia,Rakvere,Last-Mile Delivery,Operations,Courier,Junior,OMN-00098,Siim Koppel,Full-time,Fixed-term,Evening,2026-06-07,,Active,Yes,2026-06-14,No,Yes,,Not eligible,88,3,33,SAP SuccessFactors,No,
OMN-00055,Rasmus Kukk,AS Eesti Post,Estonia,Tartu,Last-Mile Delivery,Operations,Courier,Junior,OMN-00117,Tanel Koppel,Full-time,Permanent,Night,2014-05-10,,Active,Yes,2014-06-14,Yes,Yes,2016-10-19,Yes,93,10,30,SAP SuccessFactors,No,
OMN-00056,Jaan Rebane,AS Eesti Post,Estonia,Tallinn,Postal Services,Operations,Postal Service Specialist,Specialist,OMN-01088,Siim Mägi,Full-time,Fixed-term,Standard office hours,2023-07-25,,Active,Yes,2023-08-14,Yes,Yes,2025-05-20,Yes,72,0,11,SAP SuccessFactors,Yes,
OMN-00057,Mihkel Kask,AS Eesti Post,Estonia,Rakvere,Parcel Locker Network,Technical Operations,Senior Field Service Coordinator,Senior,OMN-00191,Laura Koppel,Full-time,Permanent,Standard office hours,2023-08-25,,Active,Yes,2023-10-09,Yes,Yes,2025-01-28,Yes,84,10,14,SAP SuccessFactors,Yes,
OMN-00058,Maarja Lepp,AS Eesti Post,Estonia,Rakvere,Last-Mile Delivery,Operations,Courier,Specialist,OMN-00577,Kärt Saar,Full-time,Fixed-term,Rotating,2021-05-24,,Active,Yes,2021-06-14,No,Yes,,Yes,90,1,21,SAP SuccessFactors,No,
OMN-00059,Kristjan Mägi,AS Eesti Post,Estonia,Pärnu,IT & Product,Technology,Product Specialist,Specialist,OMN-01698,Kadri Kukk,Part-time,Service contract,Hybrid,2019-01-27,,Active,Yes,2019-01-31,Yes,Not required,2025-11-25,Not eligible,71,7,9,SAP SuccessFactors,No,
OMN-00060,Rasmus Rebane,AS Eesti Post,Estonia,Tartu,HR & People Operations,People,HR Specialist,Specialist,OMN-01878,Evelin Rebane,Full-time,Permanent,Hybrid,2015-07-25,,Active,Yes,2015-08-18,Yes,Not required,2017-04-29,Yes,90,0,0,SAP SuccessFactors,Yes,
OMN-00061,Kärt Ilves,AS Eesti Post,Estonia,Tallinn,Last-Mile Delivery,Operations,Courier,Specialist,OMN-00992,Anu Mägi,Full-time,Permanent,Rotating,2023-07-06,,Active,Yes,2023-08-21,Yes,Yes,2026-03-28,Yes,68,0,36,SAP SuccessFactors,Yes,
OMN-00062,Kadri Mägi,AS Eesti Post,Estonia,Tartu,Last-Mile Delivery,Operations,Courier,Junior,OMN-00074,Kadri Mägi,Full-time,Permanent,Morning,2020-06-29,,Active,Yes,2020-08-24,Yes,Yes,2024-06-18,Yes,56,0,29,SAP SuccessFactors,Yes,
OMN-00063,Kärt Saar,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Delivery Coordinator,Specialist,OMN-01494,Maarja Mägi,Full-time,Fixed-term,Night,2023-02-01,,Active,Yes,2023-03-30,No,Yes,,Yes,79,0,19,SAP SuccessFactors,No,
OMN-00064,Kristjan Koppel,AS Eesti Post,Estonia,Tartu,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-00665,Anu Lepp,Full-time,Fixed-term,Evening,2016-07-23,,Active,Yes,2016-08-01,Yes,Yes,2018-03-14,Yes,63,4,0,SAP SuccessFactors,Yes,
OMN-00065,Jaan Lepp,AS Eesti Post,Estonia,Rakvere,Customer Support,Support,Support Quality Specialist,Specialist,OMN-01488,Rasmus Koppel,Full-time,Permanent,Standard office hours,2021-04-01,,Active,Yes,2021-04-21,Yes,Not required,2024-07-25,Yes,73,2,8,SAP SuccessFactors,Yes,
OMN-00066,Rasmus Lepp,AS Eesti Post,Estonia,Tallinn,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-01435,Jaan Mägi,Full-time,Service contract,Rotating,2025-05-16,,Active,,2025-05-31,No,Yes,,Yes,63,8,16,SAP SuccessFactors,No,Onboarding status missing
OMN-00067,Evelin Sepp,AS Eesti Post,Estonia,Rakvere,International Logistics,Logistics,Department Manager,Manager,OMN-02759,Kristjan Kask,Full-time,Permanent,Standard office hours,2014-11-17,,Active,Yes,2014-12-08,Yes,Not required,2023-07-26,Yes,92,9,11,SAP SuccessFactors,Yes,
OMN-00068,Evelin Rebane,AS Eesti Post,Estonia,Rakvere,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-00131,Kadri Lepp,Part-time,Service contract,Night,2020-05-16,,Active,Yes,2020-06-10,Yes,Yes,2023-11-07,Not eligible,79,8,42,SAP SuccessFactors,Yes,
OMN-00069,Evelin Koppel,AS Eesti Post,Estonia,Tartu,Postal Services,Operations,Post Office Clerk,Specialist,OMN-00318,Jaan Lepp,Full-time,Permanent,Standard office hours,2016-02-05,,Active,Yes,2016-03-10,Yes,No,2018-04-01,Yes,58,2,21,SAP SuccessFactors,No,
OMN-00070,Evelin Kukk,AS Eesti Post,Estonia,Tallinn,Postal Services,Operations,Universal Postal Service Coordinator,Specialist,OMN-00864,Rasmus Sepp,Full-time,Permanent,Rotating,2016-12-09,,Active,Yes,2016-12-14,No,Yes,,Yes,69,9,5,SAP SuccessFactors,No,
OMN-00071,Kärt Ilves,AS Eesti Post,Estonia,Tartu,Customer Support,Support,Customer Support Agent,Junior,OMN-01767,Jaan Sepp,Seasonal,Service contract,Standard office hours,2018-05-09,,Active,Yes,2018-06-14,Yes,Not required,2023-01-17,Not eligible,92,5,12,SAP SuccessFactors,Yes,
OMN-00072,Mihkel Koppel,AS Eesti Post,Estonia,Tallinn,Parcel Locker Network,Technical Operations,Senior Field Service Coordinator,Senior,OMN-00766,Martin Kask,Full-time,Permanent,Weekend support,2016-10-18,,Active,Yes,2016-11-04,Yes,No,2025-12-15,Yes,55,0,12,SAP SuccessFactors,No,
OMN-00073,Maarja Kukk,AS Eesti Post,Estonia,Tartu,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-00147,Kristjan Koppel,Full-time,Fixed-term,Morning,2016-03-22,,Active,Yes,2016-04-02,Yes,Yes,2024-09-24,No,,4,20,SAP SuccessFactors,No,
OMN-00074,Kadri Mägi,AS Eesti Post,Estonia,Tallinn,Last-Mile Delivery,Operations,Courier Team Lead,Lead,OMN-00860,Liis Koppel,Full-time,Permanent,Rotating,2019-05-01,2019-02-25,Exited,Yes,2019-06-11,Yes,Yes,2025-05-04,Yes,69,3,7,SAP SuccessFactors,Yes,Hire date after exit date
OMN-00075,Laura Kukk,AS Eesti Post,Estonia,Tallinn,Sorting Center Operations,Operations,Sorting Operator,Specialist,OMN-00012,Kärt Rebane,Part-time,Permanent,Morning,2015-07-09,2022-12-24,Exited,Yes,2015-08-04,,Yes,2018-05-12,No,58,0,46,SAP SuccessFactors,No,Missing training status
OMN-00076,Maarja Kukk,AS Eesti Post,Estonia,Tartu,Customer Support,Support,Senior Customer Support Specialist,Specialist,OMN-01368,Siim Saar,Full-time,Fixed-term,Rotating,2026-03-31,,Active,No,,Yes,Not required,2026-04-23,Not eligible,58,1,0,SAP SuccessFactors,Yes,
OMN-00077,Triin Tamm,AS Eesti Post,Estonia,Tartu,Last-Mile Delivery,Operations,Courier,Junior,OMN-00874,Evelin Kukk,Seasonal,Permanent,Morning,2021-01-29,2024-12-31,Exited,Yes,2021-03-22,Yes,Yes,2021-05-06,No,61,5,3,SAP SuccessFactors,No,
OMN-00078,Jaan Ilves,AS Eesti Post,Estonia,Tartu,Sorting Center Operations,Operations,Sorting Line Lead,Lead,OMN-00436,Kristjan Koppel,Part-time,Permanent,Morning,2022-03-29,2024-09-08,Exited,Yes,2022-04-21,Yes,Yes,2022-10-25,Yes,73,0,31,SAP SuccessFactors,Yes,
OMN-00079,Rasmus Rebane,AS Eesti Post,Estonia,Pärnu,Sorting Center Operations,Operations,Warehouse Specialist,Specialist,OMN-00985,Anu Mägi,Part-time,Permanent,Night,2020-02-28,,Active,Yes,2020-03-12,Yes,Yes,2020-07-04,Yes,82,5,23,SAP SuccessFactors,No,
OMN-00080,Maarja Lepp,AS Eesti Post,Estonia,Rakvere,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-01604,Siim Koppel,Seasonal,Permanent,Rotating,2017-06-10,,Active,Yes,2017-07-24,Yes,Yes,2020-07-25,Yes,65,0,22,SAP SuccessFactors,No,
OMN-00081,Martin Lepp,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Courier,Junior,OMN-01494,Maarja Mägi,Seasonal,Permanent,Morning,2020-05-28,,Active,Yes,2020-06-05,Yes,Yes,2023-12-28,Yes,89,0,12,SAP SuccessFactors,No,
OMN-00082,Laura Kask,AS Eesti Post,Estonia,Pärnu,Customer Support,Support,Customer Support Team Lead,Lead,OMN-01154,Martin Kukk,Part-time,Permanent,Rotating,2016-09-21,2020-01-05,Exited,Yes,2016-10-29,Yes,Not required,2018-03-06,Yes,73,0,15,SAP SuccessFactors,Yes,
OMN-00083,Siim Lepp,AS Eesti Post,Estonia,Narva,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-00985,Anu Mägi,Full-time,Permanent,Evening,2015-08-28,,Active,Yes,2015-10-05,Yes,Yes,2022-10-30,Yes,62,0,38,SAP SuccessFactors,Yes,
OMN-00084,Liis Kukk,AS Eesti Post,Estonia,Tartu,Last-Mile Delivery,Operations,Courier,Junior,OMN-00117,Tanel Koppel,Seasonal,Fixed-term,Rotating,2019-01-22,,Active,Yes,2019-02-02,Yes,Yes,2026-01-25,Yes,86,0,3,SAP SuccessFactors,No,
OMN-00085,Siim Lepp,AS Eesti Post,Estonia,Pärnu,Last-Mile Delivery,Operations,Route Planner,Specialist,OMN-01123,Siim Tamm,Full-time,Permanent,Night,2014-12-04,,Active,Yes,2015-01-02,Yes,Yes,2015-08-09,Yes,72,1,10,SAP SuccessFactors,No,
OMN-00086,Mihkel Tamm,AS Eesti Post,Estonia,Tallinn,International Logistics,Logistics,Transit Operations Coordinator,Specialist,OMN-00067,Evelin Sepp,Full-time,Permanent,Rotating,2017-07-18,,Active,Yes,2017-09-05,Yes,Not required,2021-06-01,Not eligible,77,2,7,SAP SuccessFactors,Yes,
OMN-00087,Martin Sepp,AS Eesti Post,Estonia,Narva,Last-Mile Delivery,Operations,Courier,Junior,OMN-01123,Siim Tamm,Seasonal,Fixed-term,Evening,2016-03-04,,Active,No,,No,Yes,,Not eligible,66,4,0,SAP SuccessFactors,No,
OMN-00088,Kristjan Rebane,AS Eesti Post,Estonia,Tallinn,Postal Services,Operations,Postal Service Specialist,Junior,OMN-01255,Evelin Tamm,Full-time,Permanent,Standard office hours,2025-05-03,,Active,Yes,2025-06-18,Yes,Yes,2025-12-29,Yes,,5,10,SAP SuccessFactors,No,
OMN-00089,Anu Tamm,AS Eesti Post,Estonia,Tallinn,Sorting Center Operations,Operations,Sorting Operator,Junior,OMN-00147,Kristjan Koppel,Full-time,Permanent,Evening,2018-05-14,,Active,Yes,2018-06-25,Yes,Yes,2019-09-12,Yes,77,5,6,SAP SuccessFactors,No,
